[0.35, 0.43, 0.43, 0.26, -0.35, -0.43]
[0.35, 0.43, 0.35, 0.26, -0.35, -0.35]
[0.35, 0.43, 0.43, 0.26, -0.35, -0.35]
[0.35, 0.7, 0.35, 0.26, -0.43, -0.35]
[0.26, 1.66, 1.66, 0.26, -1.66, -0.35]
[0.08, 3.25, 2.98, 0.96, -4.48, -0.35]
[0.0, 4.13, 3.86, 1.14, -7.2, -0.35]
[0.0, 5.18, 5.0, 1.31, -9.84, -0.35]
[-0.17, 6.94, 6.5, 1.66, -13.71, -0.35]
[-0.26, 7.91, 7.64, 2.02, -16.52, -0.35]
[-0.35, 9.05, 8.7, 2.28, -19.24, -0.35]
[-0.43, 10.37, 9.84, 2.72, -21.97, -0.35]
[-0.61, 11.68, 11.16, 2.9, -24.96, -0.35]
[-0.7, 12.74, 12.3, 3.07, -27.77, -0.35]
[-0.7, 13.71, 13.27, 3.33, -30.49, -0.35]
[-0.79, 14.85, 14.41, 3.6, -33.22, -0.35]
[-0.96, 15.9, 15.46, 3.77, -36.03, -0.43]
[-0.96, 17.05, 16.52, 4.13, -38.75, -0.43]
[-1.14, 18.54, 17.92, 4.39, -42.53, -0.43]
[-1.23, 19.33, 18.72, 4.48, -44.29, -0.43]
[-1.31, 20.39, 19.77, 4.74, -47.19, -0.52]
[-1.4, 21.88, 21.26, 5.0, -50.88, -0.52]
[-1.58, 22.85, 22.06, 5.18, -53.61, -0.61]
[-1.58, 23.73, 22.93, 5.44, -56.16, -0.7]
[-1.75, 25.22, 24.43, 5.71, -59.76, -0.79]
[-1.75, 25.92, 25.04, 5.88, -61.52, -0.79]
[-1.93, 27.42, 26.54, 6.15, -65.03, -0.87]
[-2.02, 28.21, 27.24, 6.32, -66.88, -0.96]
[-2.1, 29.61, 28.65, 6.59, -70.57, -0.96]
[-2.19, 30.32, 29.35, 6.76, -72.42, -1.05]
[-2.37, 31.81, 30.76, 7.03, -76.11, -1.05]
[-2.46, 32.87, 31.9, 7.29, -78.92, -1.14]
[-2.46, 33.92, 32.95, 7.47, -81.65, -1.14]
[-2.63, 35.06, 33.57, 7.55, -83.75, -1.23]
[-2.63, 36.91, 32.78, 7.55, -84.55, -1.23]
[-2.81, 39.55, 30.76, 7.47, -85.16, -1.31]
[-2.9, 42.53, 28.3, 7.47, -85.69, -1.31]
[-2.98, 46.93, 25.13, 7.29, -86.3, -1.4]
[-3.07, 50.0, 22.76, 7.29, -86.74, -1.4]
[-3.16, 53.26, 20.3, 7.2, -87.18, -1.4]
[-3.25, 56.51, 17.92, 7.2, -87.71, -1.49]
[-3.33, 59.67, 15.46, 7.11, -87.71, -1.49]
[-3.42, 63.98, 12.39, 7.03, -87.71, -1.49]
[-3.42, 65.83, 11.07, 7.03, -87.8, -1.49]
[-3.51, 67.85, 9.75, 7.03, -87.89, -1.49]
[-3.51, 68.02, 9.75, 7.03, -87.89, -1.49]
[-3.51, 68.02, 9.66, 7.03, -87.89, -1.49]
[-3.51, 68.02, 9.66, 7.03, -87.89, -1.49]
[-3.51, 68.02, 9.66, 7.03, -87.97, -1.49]
[-3.51, 68.02, 9.66, 7.03, -87.97, -1.49]
[-3.51, 68.02, 9.66, 7.03, -87.97, -1.49]
[-3.51, 68.11, 9.66, 7.03, -87.89, -1.49]
[-3.51, 68.11, 9.66, 6.67, -87.89, -1.58]
[-3.51, 68.11, 9.84, 6.15, -88.33, -1.58]
[-3.6, 67.93, 10.63, 5.0, -88.41, -1.84]
[-3.6, 67.14, 11.07, 4.04, -88.76, -2.02]
[-3.69, 66.53, 11.86, 2.9, -88.94, -2.1]
[-3.77, 66.26, 12.04, 2.63, -88.94, -2.1]
[-3.77, 65.03, 12.65, 1.31, -89.29, -2.54]
[-3.86, 64.68, 13.27, 0.43, -89.38, -2.54]
[-3.86, 63.98, 13.79, -0.43, -89.64, -2.72]
[-3.95, 63.28, 14.06, -1.23, -89.82, -2.81]
[-3.95, 62.92, 14.67, -2.02, -90.0, -2.98]
[-4.04, 62.05, 15.38, -3.25, -90.26, -3.16]
[-4.04, 61.43, 15.64, -3.77, -90.35, -3.25]
[-4.04, 60.9, 16.25, -4.74, -90.52, -3.33]
[-4.13, 60.55, 16.87, -5.53, -90.79, -3.51]
[-4.13, 59.41, 17.22, -6.32, -90.87, -3.69]
[-4.13, 58.35, 17.57, -5.71, -90.87, -5.36]
[-4.13, 57.83, 17.75, -5.0, -90.87, -7.55]
[-4.13, 56.68, 18.01, -4.21, -90.87, -9.84]
[-4.13, 55.98, 18.28, -3.42, -90.87, -12.3]
[-4.13, 54.66, 18.63, -2.28, -90.87, -15.82]
[-4.13, 53.96, 18.72, -1.75, -90.87, -17.49]
[-4.13, 53.34, 19.16, -0.87, -90.87, -20.12]
[-4.13, 51.76, 19.42, 0.52, -90.87, -24.6]
[-4.13, 51.24, 19.77, 1.14, -90.87, -26.36]
[-4.13, 50.09, 19.86, 1.93, -90.87, -29.09]
[-4.13, 49.48, 19.86, 2.37, -90.79, -30.84]
