[0.35, 0.43, 0.43, 0.35, -0.35, -0.35]
[0.35, 0.35, 0.35, 0.35, -0.35, -0.35]
[0.35, 0.35, 0.43, 0.35, -0.35, -0.35]
[0.26, 0.96, 0.7, -0.17, -0.52, -0.35]
[0.26, 2.1, 2.37, 0.7, -2.54, -0.35]
[0.0, 3.95, 3.6, 1.31, -6.41, -0.35]
[0.0, 4.39, 4.21, 1.4, -7.99, -0.35]
[-0.08, 5.44, 5.27, 1.58, -10.72, -0.35]
[-0.17, 6.76, 6.41, 1.84, -14.15, -0.35]
[-0.17, 7.47, 7.2, 2.1, -15.9, -0.35]
[-0.35, 8.7, 8.43, 2.37, -18.72, -0.35]
[-0.43, 9.93, 9.4, 2.54, -21.44, -0.35]
[-0.52, 11.16, 10.63, 2.9, -24.25, -0.35]
[-0.61, 12.56, 11.95, 3.07, -27.15, -0.35]
[-0.7, 13.79, 13.27, 3.42, -30.05, -0.35]
[-0.79, 14.76, 14.32, 3.6, -32.95, -0.35]
[-0.87, 15.9, 15.38, 3.77, -35.68, -0.43]
[-1.05, 17.4, 16.87, 4.13, -39.55, -0.43]
[-1.14, 18.19, 17.66, 4.3, -41.39, -0.43]
[-1.23, 19.24, 18.63, 4.48, -44.29, -0.52]
[-1.4, 20.74, 20.12, 4.83, -48.16, -0.52]
[-1.4, 21.44, 20.74, 5.0, -49.92, -0.61]
[-1.49, 22.58, 21.88, 5.18, -52.73, -0.61]
[-1.58, 24.08, 23.29, 5.44, -56.51, -0.7]
[-1.66, 25.13, 24.43, 5.71, -59.41, -0.79]
[-1.75, 26.27, 25.4, 5.97, -62.22, -0.79]
[-1.84, 27.15, 26.36, 6.15, -64.77, -0.79]
[-2.02, 28.03, 27.15, 6.32, -67.32, -0.96]
[-2.1, 29.35, 28.47, 6.59, -70.13, -0.96]
[-2.19, 30.41, 29.35, 6.76, -72.86, -1.05]
[-2.28, 31.37, 30.49, 7.03, -75.67, -1.05]
[-2.37, 32.6, 31.55, 7.2, -78.39, -1.05]
[-2.46, 33.48, 32.43, 7.47, -81.03, -1.14]
[-2.63, 35.15, 33.57, 7.47, -83.93, -1.23]
[-2.72, 36.91, 32.69, 7.47, -84.72, -1.23]
[-2.81, 39.81, 30.67, 7.47, -85.42, -1.23]
[-2.9, 42.89, 28.3, 7.47, -85.86, -1.31]
[-2.98, 46.05, 25.75, 7.38, -86.39, -1.31]
[-3.07, 49.3, 23.46, 7.29, -86.74, -1.4]
[-3.16, 52.47, 21.0, 7.2, -87.27, -1.49]
[-3.25, 55.72, 18.63, 7.2, -87.53, -1.49]
[-3.33, 58.97, 16.17, 7.11, -87.62, -1.49]
[-3.42, 63.28, 13.0, 7.11, -87.8, -1.49]
